p_rainfall,p_cloud cover,p_evapotranspiration,p_min_temp,p_vapour_pressure,p_max_temp,p_wdf,cloud cover,evapotranspiration,min_temp,vapour_pressure,max_temp,wdf,rainfall,p_pond,pond
0,18,5,8,8,23,0,23,6,17,9,33,1,3,,
3,23,6,17,9,33,1,15,8,22,9,38,0,0,,
0,15,8,22,9,38,0,24,8,28,15,43,1,5,,
5,24,8,28,15,43,1,51,8,26,21,38,5,66,,
66,51,8,26,21,38,5,56,6,27,29,35,10,302,,
302,56,6,27,29,35,10,59,5,26,30,33,8,105,,
105,59,5,26,30,33,8,32,6,25,27,35,2,13,,
13,32,6,25,27,35,2,8,7,20,15,35,1,2,,
2,8,7,20,15,35,1,6,6,12,9,27,0,0,,
0,6,6,12,9,27,0,7,5,8,9,23,0,0,,
0,7,5,8,9,23,0,16,4,8,9,23,1,7,,
7,16,4,8,9,23,1,20,5,10,8,25,1,11,,
11,20,5,10,8,25,1,30,6,13,7,29,1,4,,
4,30,6,13,7,29,1,16,8,20,8,35,0,0,,
0,16,8,20,8,35,0,17,8,27,14,42,0,0,,
0,17,8,27,14,42,0,48,8,27,22,39,4,69,,
69,48,8,27,22,39,4,60,6,26,29,35,9,248,,
248,60,6,26,29,35,9,57,5,27,31,34,7,84,,
84,57,5,27,31,34,7,35,6,24,26,34,4,77,,
77,35,6,24,26,34,4,11,6,20,14,34,0,0,,
0,11,6,20,14,34,0,0,6,12,9,28,0,0,,
0,0,6,12,9,28,0,10,5,8,9,24,0,0,,
0,10,5,8,9,24,0,22,4,8,8,22,1,15,,
15,22,4,8,8,22,1,20,5,9,8,24,1,18,,
18,20,5,9,8,24,1,28,6,14,7,29,1,9,,
9,28,6,14,7,29,1,18,8,20,8,35,1,6,,
6,18,8,20,8,35,1,22,8,27,14,41,1,9,,
9,22,8,27,14,41,1,45,8,29,23,41,3,29,,
29,45,8,29,23,41,3,60,6,27,30,36,8,153,,
153,60,6,27,30,36,8,62,5,24,29,32,10,245,,
245,62,5,24,29,32,10,35,6,23,25,33,2,20,,
20,35,6,23,25,33,2,7,6,19,14,34,1,2,,
2,7,6,19,14,34,1,2,6,14,9,30,1,4,,
4,2,6,14,9,30,1,11,5,8,9,23,1,1,,
1,11,5,8,9,23,1,21,4,7,8,21,1,13,,
13,21,4,7,8,21,1,11,5,11,9,26,0,2,,
2,11,5,11,9,26,0,22,6,17,9,33,0,0,,
0,22,6,17,9,33,0,15,8,24,10,39,0,0,,
0,15,8,24,10,39,0,26,8,27,14,42,1,16,,
16,26,8,27,14,42,1,50,8,27,23,39,2,20,,
20,50,8,27,23,39,2,60,6,28,32,37,9,158,,
158,60,6,28,32,37,9,60,5,26,30,34,8,139,,
139,60,5,26,30,34,8,38,6,24,26,34,3,50,,
50,38,6,24,26,34,3,14,6,22,16,36,1,1,,
1,14,6,22,16,36,1,0,6,13,9,29,0,0,,
0,0,6,13,9,29,0,10,5,10,10,25,1,2,,
2,10,5,10,10,25,1,23,4,6,8,21,1,13,,
13,23,4,6,8,21,1,19,5,11,8,26,1,10,,
10,19,5,11,8,26,1,21,7,17,9,33,0,0,,
0,21,7,17,9,33,0,18,8,23,9,39,1,7,,
7,18,8,23,9,39,1,25,8,27,14,42,1,7,,
7,25,8,27,14,42,1,35,8,29,25,41,2,25,,
25,35,8,29,25,41,2,65,6,25,29,33,14,433,,
433,65,6,25,29,33,14,62,5,24,28,31,11,289,,
289,62,5,24,28,31,11,41,6,22,25,32,6,201,,
201,41,6,22,25,32,6,12,6,19,14,33,0,0,,
0,12,6,19,14,33,0,3,6,13,9,29,0,0,,
0,3,6,13,9,29,0,15,4,7,8,23,1,6,,
6,15,4,7,8,23,1,28,4,8,8,23,1,11,,
11,28,4,8,8,23,1,7,5,10,8,25,0,0,,
0,7,5,10,8,25,0,19,7,16,8,32,0,0,,
0,19,7,16,8,32,0,18,8,20,8,35,1,19,,
19,18,8,20,8,35,1,22,8,26,14,41,1,18,,
18,22,8,26,14,41,1,40,8,27,23,39,4,62,,
62,40,8,27,23,39,4,63,6,25,29,34,11,256,,
256,63,6,25,29,34,11,61,5,24,29,31,12,310,,
310,61,5,24,29,31,12,38,6,23,25,33,6,172,,
172,38,6,23,25,33,6,5,6,19,14,33,0,0,,
0,5,6,19,14,33,0,0,6,13,9,29,0,0,,
0,0,6,13,9,29,0,10,5,9,9,25,0,0,,
0,10,5,9,9,25,0,21,4,7,8,22,1,23,,
23,21,4,7,8,22,1,20,5,10,8,25,1,13,,
13,20,5,10,8,25,1,27,6,14,8,30,2,26,,
26,27,6,14,8,30,2,20,8,20,8,36,2,23,,
23,20,8,20,8,36,2,17,8,27,14,42,0,0,,
0,17,8,27,14,42,0,34,8,27,23,39,2,28,,
28,34,8,27,23,39,2,63,6,25,29,34,11,219,,
219,63,6,25,29,34,11,64,5,25,30,33,9,145,,
145,64,5,25,30,33,9,38,6,24,25,33,4,72,,
72,38,6,24,25,33,4,5,6,18,13,32,1,7,,
7,5,6,18,13,32,1,0,6,13,9,29,0,0,,
0,0,6,13,9,29,0,10,5,9,10,25,0,0,,
0,10,5,9,10,25,0,22,4,5,7,20,1,13,,
13,22,4,5,7,20,1,6,5,9,8,24,0,0,,
0,6,5,9,8,24,0,20,7,16,8,32,0,0,,
0,20,7,16,8,32,0,23,8,20,8,36,1,6,,
6,23,8,20,8,36,1,19,8,26,13,40,1,23,,
23,19,8,26,13,40,1,34,8,29,24,41,2,25,,
25,34,8,29,24,41,2,62,6,26,28,34,11,253,,
253,62,6,26,28,34,11,62,5,25,29,33,11,309,,
309,62,5,25,29,33,11,43,6,23,25,33,6,163,,
163,43,6,23,25,33,6,17,6,18,13,33,0,0,,
0,17,6,18,13,33,0,0,6,13,9,28,0,0,,
0,0,6,13,9,28,0,9,4,7,8,22,0,0,,
0,9,4,7,8,22,0,15,4,8,8,23,0,0,,
0,15,4,8,8,23,0,9,5,12,9,27,1,2,,
2,9,5,12,9,27,1,19,6,15,8,31,0,0,,
0,19,6,15,8,31,0,15,8,23,10,39,0,0,,
0,15,8,23,10,39,0,27,8,26,13,41,1,15,,
15,27,8,26,13,41,1,45,8,28,23,40,3,48,,
48,45,8,28,23,40,3,61,6,26,29,34,10,242,,
242,61,6,26,29,34,10,62,5,25,28,32,11,293,,
293,62,5,25,28,32,11,34,6,23,25,33,1,13,,
13,34,6,23,25,33,1,18,6,19,14,34,1,1,,
1,18,6,19,14,34,1,0,6,12,9,28,0,1,,
1,0,6,12,9,28,0,12,5,8,9,24,1,3,,
3,12,5,8,9,24,1,17,4,6,8,21,1,4,,
4,17,4,6,8,21,1,9,5,11,9,26,1,3,,
3,9,5,11,9,26,1,19,7,17,9,32,1,2,,
2,19,7,17,9,32,1,10,8,22,9,38,0,0,,
0,10,8,22,9,38,0,16,8,27,14,41,1,1,,
1,16,8,27,14,41,1,38,8,29,26,41,1,19,,
19,38,8,29,26,41,1,51,6,27,30,36,11,257,,
257,51,6,27,30,36,11,62,5,25,29,33,11,288,,
288,62,5,25,29,33,11,41,6,23,25,33,7,301,,
301,41,6,23,25,33,7,13,6,17,13,32,2,31,,
31,13,6,17,13,32,2,6,6,14,9,29,0,0,,
0,6,6,14,9,29,0,13,5,8,9,24,1,3,,
3,13,5,8,9,24,1,22,4,7,8,22,2,32,,
32,22,4,7,8,22,2,19,5,9,8,24,1,11,,
11,19,5,9,8,24,1,29,6,14,7,30,0,2,,
2,29,6,14,7,30,0,18,8,23,10,38,1,1,,
1,18,8,23,10,38,1,19,8,28,15,42,1,6,,
6,19,8,28,15,42,1,41,8,30,26,42,2,9,,
9,41,8,30,26,42,2,58,6,26,29,35,12,360,,
360,58,6,26,29,35,12,65,5,25,28,32,10,232,,
232,65,5,25,28,32,10,38,6,23,24,33,5,133,,
133,38,6,23,24,33,5,18,6,20,14,34,1,9,,
9,18,6,20,14,34,1,3,6,12,9,28,1,7,,
7,3,6,12,9,28,1,18,4,9,8,24,0,0,,
0,18,4,9,8,24,0,20,4,9,9,24,1,4,,
4,20,4,9,9,24,1,17,5,11,8,26,1,9,,
9,17,5,11,8,26,1,26,6,16,8,32,1,1,,
1,26,6,16,8,32,1,14,8,23,9,38,0,0,,
0,14,8,23,9,38,0,24,8,28,15,42,1,3,,
3,24,8,28,15,42,1,40,8,29,25,41,1,9,,
9,40,8,29,25,41,1,63,6,26,29,34,13,404,,
404,63,6,26,29,34,13,60,5,25,28,32,9,291,,
291,60,5,25,28,32,9,38,6,24,25,34,5,159,,
159,38,6,24,25,34,5,11,6,19,14,33,1,4,,
4,11,6,19,14,33,1,0,6,12,9,27,0,0,,
0,0,6,12,9,27,0,10,4,8,8,23,0,0,,
0,10,4,8,8,23,0,24,4,9,8,23,0,1,,
1,24,4,9,8,23,0,14,5,8,8,23,0,0,,
0,14,5,8,8,23,0,28,6,14,7,30,1,3,,
3,28,6,14,7,30,1,14,8,20,8,36,0,0,,
0,14,8,20,8,36,0,23,8,27,13,41,1,17,,
17,23,8,27,13,41,1,49,8,29,25,41,2,8,,
8,49,8,29,25,41,2,66,6,26,29,34,11,288,,
288,66,6,26,29,34,11,63,5,24,28,32,10,235,,
235,63,5,24,28,32,10,43,6,23,25,33,5,148,,
148,43,6,23,25,33,5,17,6,18,14,33,0,0,,
0,17,6,18,14,33,0,0,6,12,9,27,0,0,,
0,0,6,12,9,27,0,7,5,7,8,22,1,1,,
1,7,5,7,8,22,1,21,4,6,8,22,1,5,,
5,21,4,6,8,22,1,10,5,9,8,24,0,0,,
0,10,5,9,8,24,0,27,6,15,8,31,2,12,,
12,27,6,15,8,31,2,23,8,19,8,34,1,4,,
4,23,8,19,8,34,1,26,8,26,13,40,1,7,,
7,26,8,26,13,40,1,43,8,28,23,40,3,53,,
53,43,8,28,23,40,3,58,6,28,32,36,8,130,,
130,58,6,28,32,36,8,62,5,25,28,32,10,262,,
262,62,5,25,28,32,10,34,6,23,25,33,5,143,,
143,34,6,23,25,33,5,12,6,22,16,37,0,3,,
3,12,6,22,16,37,0,8,6,14,10,30,1,45,,
45,8,6,14,10,30,1,13,5,8,9,24,0,0,,
0,13,5,8,9,24,0,19,4,9,9,24,0,0,,
0,19,4,9,9,24,0,18,5,12,9,27,1,10,,
10,18,5,12,9,27,1,37,6,15,8,31,1,7,,
7,37,6,15,8,31,1,22,8,23,9,39,1,6,,
6,22,8,23,9,39,1,28,8,28,15,42,1,5,,
5,28,8,28,15,42,1,43,8,27,22,39,3,37,,
37,43,8,27,22,39,3,66,6,25,29,34,9,252,,
252,66,6,25,29,34,9,65,5,24,28,31,14,511,,
511,65,5,24,28,31,14,38,6,24,26,34,1,6,,
6,38,6,24,26,34,1,3,7,19,14,34,0,0,,
0,3,7,19,14,34,0,0,6,13,9,29,0,0,,
0,0,6,13,9,29,0,12,5,9,9,24,1,21,,
21,12,5,9,9,24,1,29,4,6,8,21,2,25,,
25,29,4,6,8,21,2,15,5,11,9,26,0,0,,
0,15,5,11,9,26,0,21,7,19,10,34,0,0,,
0,21,7,19,10,34,0,20,8,23,9,38,0,1,,
1,20,8,23,9,38,0,29,8,28,14,42,0,1,,
1,29,8,28,14,42,0,47,8,29,25,41,2,17,,
17,47,8,29,25,41,2,69,6,26,29,35,11,206,,
206,69,6,26,29,35,11,66,5,25,28,32,11,253,,
253,66,5,25,28,32,11,43,6,23,25,33,3,58,,
58,43,6,23,25,33,3,12,6,19,14,34,0,0,,
0,12,6,19,14,34,0,4,5,12,9,28,0,0,,
0,4,5,12,9,28,0,14,5,11,10,26,0,0,,
0,14,5,11,10,26,0,30,4,6,8,21,1,10,,
10,30,4,6,8,21,1,33,5,11,9,26,2,28,,
28,33,5,11,9,26,2,27,6,16,8,31,1,4,,
4,27,6,16,8,31,1,18,8,22,9,38,0,0,,
0,18,8,22,9,38,0,22,8,28,15,42,0,0,,
0,22,8,28,15,42,0,47,8,29,24,41,1,5,,
5,47,8,29,24,41,1,61,6,26,29,35,11,285,,
285,61,6,26,29,35,11,60,5,26,29,32,10,201,,
201,60,5,26,29,32,10,48,6,23,25,33,6,160,,
160,48,6,23,25,33,6,18,6,17,13,31,2,28,,
28,18,6,17,13,31,2,7,6,13,9,29,1,4,,
4,7,6,13,9,29,1,14,5,8,9,23,0,0,,
0,14,5,8,9,23,0,32,4,7,8,22,1,17,,
17,32,4,7,8,22,1,17,5,10,9,25,0,0,,
0,17,5,10,9,25,0,28,6,17,9,33,0,1,,
1,28,6,17,9,33,0,19,8,19,8,35,0,1,,
1,19,8,19,8,35,0,28,8,26,13,40,1,3,,
3,28,8,26,13,40,1,46,8,29,24,41,4,99,,
99,46,8,29,24,41,4,64,6,27,30,35,10,239,,
239,64,6,27,30,35,10,67,5,24,28,32,13,410,,
410,67,5,24,28,32,13,48,6,24,25,34,6,164,,
164,48,6,24,25,34,6,31,6,18,13,32,3,48,,
48,31,6,18,13,32,3,8,5,12,9,28,0,0,,
0,8,5,12,9,28,0,19,4,9,9,24,1,2,,
2,19,4,9,9,24,1,28,4,7,8,22,1,7,,
7,28,4,7,8,22,1,11,5,10,9,25,0,0,,
0,11,5,10,9,25,0,31,6,16,8,31,1,11,,
11,31,6,16,8,31,1,23,8,22,9,37,0,0,,
0,23,8,22,9,37,0,30,8,28,14,42,0,0,,
0,30,8,28,14,42,0,56,8,28,23,40,3,57,,
57,56,8,28,23,40,3,67,6,24,27,33,14,505,,
505,67,6,24,27,33,14,65,5,24,29,32,9,195,,
195,65,5,24,29,32,9,42,6,24,25,34,2,22,,
22,42,6,24,25,34,2,34,6,18,13,32,3,54,,
54,34,6,18,13,32,3,10,5,12,9,27,0,0,,
0,10,5,12,9,27,0,20,4,9,9,24,1,10,,
10,20,4,9,9,24,1,33,4,7,8,21,1,18,,
18,33,4,7,8,21,1,16,5,8,8,23,0,0,,
0,16,5,8,8,23,0,37,6,14,7,30,2,16,,
16,37,6,14,7,30,2,27,7,20,8,36,1,5,,
5,27,7,20,8,36,1,27,8,25,13,40,1,10,,
10,27,8,25,13,40,1,42,8,27,23,39,2,25,,
25,42,8,27,23,39,2,64,6,26,29,34,11,369,,
369,64,6,26,29,34,11,62,5,26,30,32,9,185,,
185,62,5,26,30,32,9,39,6,22,25,32,5,129,,
129,39,6,22,25,32,5,16,6,19,14,33,1,7,,
7,16,6,19,14,33,1,11,6,14,9,30,1,10,,
10,11,6,14,9,30,1,21,4,9,9,24,1,3,,
3,21,4,9,9,24,1,23,4,10,10,24,1,2,,
2,23,4,10,10,24,1,17,5,10,8,26,1,3,,
3,17,5,10,8,26,1,27,6,17,9,33,1,2,,
2,27,6,17,9,33,1,24,8,23,9,39,0,0,,
0,24,8,23,9,39,0,26,8,27,14,41,0,2,,
2,26,8,27,14,41,0,38,8,29,25,41,1,5,,
5,38,8,29,25,41,1,69,6,25,29,34,13,419,,
419,69,6,25,29,34,13,64,5,24,29,32,10,267,,
267,64,5,24,29,32,10,51,6,23,24,33,7,272,,
272,51,6,23,24,33,7,26,6,19,14,33,1,13,,
13,26,6,19,14,33,1,13,5,13,10,29,1,16,,
16,13,5,13,10,29,1,22,4,10,10,25,1,5,,
5,22,4,10,10,25,1,29,4,7,8,22,1,9,,
9,29,4,7,8,22,1,20,5,9,8,25,0,0,,
0,20,5,9,8,25,0,23,6,16,9,32,0,0,,
0,23,6,16,9,32,0,24,8,21,9,37,0,0,,
0,24,8,21,9,37,0,29,8,26,13,40,2,41,,
41,29,8,26,13,40,2,48,8,28,24,41,3,39,,
39,48,8,28,24,41,3,68,6,25,29,34,11,237,,
237,68,6,25,29,34,11,66,5,25,28,32,10,212,,
212,66,5,25,28,32,10,49,6,23,25,34,4,92,,
92,49,6,23,25,34,4,29,6,20,14,34,0,1,,
1,29,6,20,14,34,0,13,5,13,9,29,1,11,,
11,13,5,13,9,29,1,13,5,9,9,25,0,0,,
0,13,5,9,9,25,0,21,4,7,8,22,0,1,,
1,21,4,7,8,22,0,7,5,13,9,28,0,0,,
0,7,5,13,9,28,0,35,6,15,8,31,1,11,,
11,35,6,15,8,31,1,23,8,21,8,36,0,0,,
0,23,8,21,8,36,0,22,8,26,13,41,1,13,,
13,22,8,26,13,41,1,44,8,29,24,41,2,24,,
24,44,8,29,24,41,2,65,6,26,29,34,11,253,,
253,65,6,26,29,34,11,66,5,24,28,32,12,383,,
383,66,5,24,28,32,12,41,6,24,25,34,3,50,,
50,41,6,24,25,34,3,18,6,18,14,33,2,33,,
33,18,6,18,14,33,2,4,5,12,9,28,0,0,,
0,4,5,12,9,28,0,14,5,9,9,24,1,1,,
1,14,5,9,9,24,1,27,4,7,8,22,1,19,,
19,27,4,7,8,22,1,25,5,9,8,23,1,26,,
26,25,5,9,8,23,1,29,6,16,9,31,0,0,,
0,29,6,16,9,31,0,23,8,21,9,36,1,6,,
6,23,8,21,9,36,1,29,8,27,13,40,1,5,,
5,29,8,27,13,40,1,48,8,27,23,40,3,53,,
53,48,8,27,23,40,3,68,6,26,29,34,9,168,,
168,68,6,26,29,34,9,66,5,24,29,31,15,498,,
498,66,5,24,29,31,15,49,6,24,25,33,5,109,,
109,49,6,24,25,33,5,25,6,19,13,32,2,19,,
19,25,6,19,13,32,2,18,5,13,9,27,1,5,,
5,18,5,13,9,27,1,18,4,6,8,21,0,0,,
0,18,4,6,8,21,0,20,4,7,8,21,1,14,,
14,20,4,7,8,21,1,23,5,11,9,26,0,0,,
0,23,5,11,9,26,0,32,6,15,8,31,1,7,,
7,32,6,15,8,31,1,25,8,23,9,38,0,1,,
1,25,8,23,9,38,0,25,8,26,13,40,0,1,,
1,25,8,26,13,40,0,40,8,28,24,40,2,13,,
13,40,8,28,24,40,2,63,6,27,29,35,11,283,,
283,63,6,27,29,35,11,62,5,25,28,32,9,198,,
198,62,5,25,28,32,9,48,5,23,24,32,5,148,,
148,48,5,23,24,32,5,15,6,18,13,32,0,0,,
0,15,6,18,13,32,0,8,5,13,10,28,0,1,,
1,8,5,13,10,28,0,19,4,10,9,24,0,1,,
1,19,4,10,9,24,0,15,4,6,8,22,1,7,,
7,15,4,6,8,22,1,10,5,12,9,28,1,2,,
2,10,5,12,9,28,1,28,6,16,8,32,1,2,,
2,28,6,16,8,32,1,27,7,22,9,36,1,1,,
1,27,7,22,9,36,1,28,8,26,13,40,1,9,,
9,28,8,26,13,40,1,45,8,28,23,40,3,33,,
33,45,8,28,23,40,3,61,6,28,32,36,7,139,,
139,61,6,28,32,36,7,65,5,24,28,31,10,255,,
255,65,5,24,28,31,10,40,6,23,25,32,6,245,,
245,40,6,23,25,32,6,18,6,20,15,34,1,3,,
3,18,6,20,15,34,1,20,5,16,11,31,1,13,,
13,20,5,16,11,31,1,15,5,8,9,24,1,8,,
8,15,5,8,9,24,1,20,4,7,8,21,0,0,,
0,20,4,7,8,21,0,17,5,10,8,25,0,0,,
0,17,5,10,8,25,0,24,6,18,9,34,0,0,,
0,24,6,18,9,34,0,25,8,23,10,38,0,0,,
0,25,8,23,10,38,0,25,8,25,13,39,1,19,,
19,25,8,25,13,39,1,44,8,28,23,40,2,11,,
11,44,8,28,23,40,2,67,6,26,29,34,14,439,,
439,67,6,26,29,34,14,64,5,25,29,33,12,334,,
334,64,5,25,29,33,12,60,5,23,25,32,6,201,,
201,60,5,23,25,32,6,17,6,19,14,34,1,2,,
2,17,6,19,14,34,1,2,6,12,9,28,0,0,,
0,2,6,12,9,28,0,17,4,10,9,24,1,6,,
6,17,4,10,9,24,1,23,4,9,9,24,1,4,,
4,23,4,9,9,24,1,18,5,10,9,25,1,5,,
5,18,5,10,9,25,1,27,6,15,8,31,1,1,,
1,27,6,15,8,31,1,32,7,20,8,35,1,7,,
7,32,7,20,8,35,1,28,8,26,13,39,1,2,,
2,28,8,26,13,39,1,42,8,30,26,42,1,7,,
7,42,8,30,26,42,1,63,6,27,29,35,12,361,,
361,63,6,27,29,35,12,60,5,26,29,33,8,142,,
142,60,5,26,29,33,8,39,6,23,25,33,4,89,,
89,39,6,23,25,33,4,20,6,20,15,34,1,15,,
15,20,6,20,15,34,1,8,6,15,10,30,0,0,,
0,8,6,15,10,30,0,12,5,8,9,23,0,0,,
0,12,5,8,9,23,0,18,4,8,8,24,0,0,,
0,18,4,8,8,24,0,18,5,13,10,28,1,3,,
3,18,5,13,10,28,1,22,7,16,8,32,0,0,,
0,22,7,16,8,32,0,22,8,22,9,37,0,0,,
0,22,8,22,9,37,0,23,9,26,13,41,2,37,,
37,23,9,26,13,41,2,48,8,26,22,39,4,70,,
70,48,8,26,22,39,4,58,7,28,31,37,9,187,,
187,58,7,28,31,37,9,63,5,24,28,32,12,365,,
365,63,5,24,28,32,12,36,6,23,25,33,3,40,,
40,36,6,23,25,33,3,13,6,20,15,35,0,1,,
1,13,6,20,15,35,0,19,5,13,9,30,1,40,,
40,19,5,13,9,30,1,10,5,7,9,24,0,0,,
0,10,5,7,9,24,0,16,4,6,8,22,0,0,,
0,16,4,6,8,22,0,6,6,12,9,28,0,0,,
0,6,6,12,9,28,0,37,6,14,8,31,2,21,,
21,37,6,14,8,31,2,25,8,21,8,36,0,0,,
0,25,8,21,8,36,0,24,8,26,13,41,1,3,,
3,24,8,26,13,41,1,43,8,28,23,41,3,47,,
47,43,8,28,23,41,3,65,6,26,29,35,11,278,,
278,65,6,26,29,35,11,66,5,24,28,31,15,505,,
505,66,5,24,28,31,15,43,6,22,23,33,5,147,,
147,43,6,22,23,33,5,13,6,19,14,34,1,10,,
10,13,6,19,14,34,1,13,5,13,9,29,0,2,,
2,13,5,13,9,29,0,32,4,9,9,25,3,29,,
29,32,4,9,9,25,3,31,4,7,8,22,1,16,,
16,31,4,7,8,22,1,19,5,8,8,24,1,3,,
3,19,5,8,8,24,1,27,6,15,8,31,1,6,,
6,27,6,15,8,31,1,20,8,21,9,36,0,0,,
0,20,8,21,9,36,0,23,8,25,13,40,0,1,,
1,23,8,25,13,40,0,45,8,29,24,41,2,16,,
16,45,8,29,24,41,2,63,6,25,29,34,11,285,,
285,63,6,25,29,34,11,62,5,25,28,32,9,172,,
172,62,5,25,28,32,9,33,6,24,25,35,1,28,,
28,33,6,24,25,35,1,14,6,19,14,33,1,14,,
14,14,6,19,14,33,1,4,6,13,9,29,0,0,,
0,4,6,13,9,29,0,14,5,9,9,24,0,0,,
0,14,5,9,9,24,0,17,4,8,8,23,1,6,,
6,17,4,8,8,23,1,14,5,11,9,26,1,7,,
7,14,5,11,9,26,1,22,7,17,9,35,0,1,,
1,22,7,17,9,35,0,23,8,23,9,38,0,0,,
0,23,8,23,9,38,0,30,8,25,12,40,1,18,,
18,30,8,25,12,40,1,43,8,30,25,42,2,12,,
12,43,8,30,25,42,2,63,6,25,29,34,12,298,,
298,63,6,25,29,34,12,63,5,25,29,32,9,197,,
197,63,5,25,29,32,9,44,6,23,25,32,5,99,,
99,44,6,23,25,32,5,15,6,20,15,35,0,0,,
0,15,6,20,15,35,0,11,6,14,10,31,1,9,,
9,11,6,14,10,31,1,11,5,8,8,25,0,0,,
0,11,5,8,8,25,0,24,4,8,8,23,1,17,,
17,24,4,8,8,23,1,23,5,9,8,25,2,22,,
22,23,5,9,8,25,2,34,6,15,8,31,1,8,,
8,34,6,15,8,31,1,22,8,22,9,39,0,1,,
1,22,8,22,9,39,0,29,8,26,13,41,2,29,,
29,29,8,26,13,41,2,50,8,26,22,39,5,85,,
85,50,8,26,22,39,5,61,6,27,29,36,7,121,,
121,61,6,27,29,36,7,64,5,25,28,33,13,421,,
421,64,5,25,28,33,13,46,6,23,24,33,5,143,,
143,46,6,23,24,33,5,20,6,19,14,35,0,0,,
0,20,6,19,14,35,0,3,6,12,9,29,0,0,,
0,3,6,12,9,29,0,11,5,9,9,25,0,0,,
0,11,5,9,9,25,0,21,4,6,8,21,1,9,,
9,21,4,6,8,21,1,12,5,10,8,25,1,10,,
10,12,5,10,8,25,1,26,6,15,8,31,0,0,,
0,26,6,15,8,31,0,25,8,22,9,38,1,3,,
3,25,8,22,9,38,1,31,8,25,12,39,1,14,,
14,31,8,25,12,39,1,57,7,25,21,37,5,124,,
124,57,7,25,21,37,5,67,6,24,27,32,10,262,,
262,67,6,24,27,32,10,65,5,23,28,31,9,196,,
196,65,5,23,28,31,9,43,6,22,24,33,4,93,,
93,43,6,22,24,33,4,27,6,18,14,33,2,17,,
17,27,6,18,14,33,2,9,6,12,9,29,1,2,,
2,9,6,12,9,29,1,12,5,7,9,25,0,0,,
0,12,5,7,9,25,0,18,4,8,8,22,1,2,,
2,18,4,8,8,22,1,19,5,8,7,23,1,11,,
11,19,5,8,7,23,1,27,6,16,8,32,0,0,,
0,27,6,16,8,32,0,26,8,21,8,36,1,1,,
1,26,8,21,8,36,1,23,9,27,14,42,0,2,,
2,23,9,27,14,42,0,39,8,29,24,41,2,31,,
31,39,8,29,24,41,2,60,7,27,31,37,7,85,,
85,60,7,27,31,37,7,62,5,24,28,32,12,336,,
336,62,5,24,28,32,12,35,6,22,24,32,5,80,,
80,35,6,22,24,32,5,15,6,19,14,33,0,1,,
1,15,6,19,14,33,0,8,5,14,9,29,1,3,,
3,8,5,14,9,29,1,16,4,10,9,24,1,3,,
3,16,4,10,9,24,1,23,4,8,9,21,1,8,,
8,23,4,8,9,21,1,18,5,11,9,27,1,10,,
10,18,5,11,9,27,1,27,6,15,8,31,0,0,,
0,27,6,15,8,31,0,20,8,23,10,40,0,0,,
0,20,8,23,10,40,0,26,9,27,14,42,1,9,,
9,26,9,27,14,42,1,51,8,28,24,41,3,27,,
27,51,8,28,24,41,3,66,6,26,29,35,10,229,,
229,66,6,26,29,35,10,65,5,24,28,31,14,458,,
458,65,5,24,28,31,14,48,6,24,25,34,5,128,,
128,48,6,24,25,34,5,22,6,18,14,33,2,24,,
24,22,6,18,14,33,2,4,6,12,9,28,0,0,,
0,4,6,12,9,28,0,19,4,7,8,22,0,0,,
0,19,4,7,8,22,0,18,4,7,8,21,0,0,,
0,18,4,7,8,21,0,15,5,9,8,24,0,0,,
0,15,5,9,8,24,0,25,6,17,9,33,0,0,,
0,25,6,17,9,33,0,23,8,23,9,39,0,1,,
1,23,8,23,9,39,0,27,9,25,13,41,1,22,,
22,27,9,25,13,41,1,44,8,27,23,39,3,27,,
27,44,8,27,23,39,3,60,6,25,29,34,10,171,,
171,60,6,25,29,34,10,62,5,24,28,32,8,99,,
99,62,5,24,28,32,8,34,6,24,25,35,1,16,,
16,34,6,24,25,35,1,23,6,19,14,34,2,39,,
39,23,6,19,14,34,2,5,6,12,9,28,0,0,,
0,5,6,12,9,28,0,16,4,8,8,23,1,3,,
3,16,4,8,8,23,1,26,4,6,7,21,1,2,,
2,26,4,6,7,21,1,19,5,9,8,24,0,0,,
0,19,5,9,8,24,0,27,6,15,8,31,0,1,,
1,27,6,15,8,31,0,22,8,23,9,39,0,0,,
0,22,8,23,9,39,0,26,9,27,14,42,1,2,,
2,26,9,27,14,42,1,46,8,26,22,38,4,69,,
69,46,8,26,22,38,4,63,6,25,29,34,13,391,,
391,63,6,25,29,34,13,65,5,24,28,32,10,233,,
233,65,5,24,28,32,10,50,5,23,23,32,6,200,,
200,50,5,23,23,32,6,29,6,18,14,33,2,26,,
26,29,6,18,14,33,2,5,6,11,9,28,0,0,,
0,5,6,11,9,28,0,10,5,9,9,25,0,0,,
0,10,5,9,9,25,0,25,4,8,9,23,1,3,,
3,25,4,8,9,23,1,22,5,11,8,26,1,8,,
8,22,5,11,8,26,1,35,6,15,8,31,0,1,,
1,35,6,15,8,31,0,25,8,20,8,36,1,2,,
2,25,8,20,8,36,1,28,8,24,13,40,1,6,,
6,28,8,24,13,40,1,49,7,26,22,37,4,90,,
90,49,7,26,22,37,4,63,6,24,29,33,10,206,,
206,63,6,24,29,33,10,65,5,24,27,31,12,305,,
305,65,5,24,27,31,12,43,6,23,24,33,5,137,,
